ad 32 0
ae 64 0
af 96 0
ag 128 0
ai 160 0
al 192 0
am 224 0
an 256 0
ao 288 0
ar 320 0
as 352 0
at 384 0
au 416 0
aw 448 0
ax 480 0
az 0 32
ba 32 32
bb 64 32
bd 96 32
be 128 32
bf 160 32
bg 192 32
bh 224 32
bi 256 32
bj 288 32
bl 320 32
bm 352 32
bn 384 32
bo 416 32
br 448 32
bs 480 32
bt 0 64
bw 32 64
by 64 64
bz 96 64
ca 128 64
cd 160 64
cf 192 64
cg 224 64
ch 256 64
ci 288 64
ck 320 64
cl 352 64
cm 384 64
cn 416 64
co 448 64
cr 480 64
cu 0 96
cv 32 96
cw 64 96
cy 96 96
cz 128 96
de 160 96
dj 192 96
dk 224 96
dm 256 96
do 288 96
dz 320 96
ec 352 96
ee 384 96
eg 416 96
eh 448 96
er 480 96
es 0 128
et 32 128
eu 64 128
fi 96 128
fj 128 128
fk 160 128
fm 192 128
fo 224 128
fr 256 128
ga 288 128
gb 320 128
gd 352 128
ge 384 128
gg 416 128
gh 448 128
gi 480 128
gl 0 160
gm 32 160
gn 64 160
gp 96 160
gq 128 160
gr 160 160
gs 192 160
gt 224 160
gu 256 160
gw 288 160
gy 320 160
hk 352 160
hn 384 160
hr 416 160
ht 448 160
hu 480 160
ic 0 192
id 32 192
ie 64 192
il 96 192
im 128 192
in 160 192
iq 192 192
ir 224 192
is 256 192
it 288 192
je 320 192
jm 352 192
jo 384 192
jp 416 192
ke 448 192
kg 480 192
kh 0 224
ki 32 224
km 64 224
kn 96 224
kp 128 224
kr 160 224
kw 192 224
ky 224 224
kz 256 224
la 288 224
lb 320 224
lc 352 224
li 384 224
lk 416 224
lr 448 224
ls 480 224
lt 0 256
lu 32 256
lv 64 256
ly 96 256
ma 128 256
mc 160 256
md 192 256
me 224 256
mf 256 256
mg 288 256
mh 320 256
mk 352 256
ml 384 256
mm 416 256
mn 448 256
mo 480 256
mp 0 288
mq 32 288
mr 64 288
ms 96 288
mt 128 288
mu 160 288
mv 192 288
mw 224 288
mx 256 288
my 288 288
mz 320 288
na 352 288
nc 384 288
ne 416 288
nf 448 288
ng 480 288
ni 0 320
nl 32 320
no 64 320
np 96 320
nr 128 320
nu 160 320
nz 192 320
om 224 320
pa 256 320
pe 288 320
pf 320 320
pg 352 320
ph 384 320
pk 416 320
pl 448 320
pn 480 320
pr 0 352
ps 32 352
pt 64 352
pw 96 352
py 128 352
qa 160 352
re 192 352
ro 224 352
rs 256 352
ru 288 352
rw 320 352
sa 352 352
sb 384 352
sc 416 352
sd 448 352
se 480 352
sg 0 384
sh 32 384
si 64 384
sk 96 384
sl 128 384
sm 160 384
sn 192 384
so 224 384
sr 256 384
ss 288 384
st 320 384
sv 352 384
sy 384 384
sz 416 384
tc 448 384
td 480 384
tf 0 416
tg 32 416
th 64 416
tj 96 416
tk 128 416
tl 160 416
tm 192 416
tn 224 416
to 256 416
tr 288 416
tt 320 416
tv 352 416
tw 384 416
tz 416 416
ua 448 416
ug 480 416
us 0 448
uy 32 448
uz 64 448
va 96 448
vc 128 448
ve 160 448
vg 192 448
vi 224 448
vn 256 448
vu 288 448
wf 320 448
ws 352 448
ye 384 448
yt 416 448
za 448 448
zm 480 448
zw 0 480
